Team,Position,FirstName,LastName,bat1,bat2,bat3,Batting,pitch1,pitch2,pitch3,Pitching,def1,def2,def3,Defense,run1,run2,run3,Baserunning
trapdoors,batter,Peanut,Internet,3,1,4,8,3,4,5,12,2,5,5,12,3,3,5,11
trapdoors,batter,Marco,Leaf,2,4,6,12,2,2,2,6,3,6,4,13,2,1,3,6
trapdoors,batter,Logan,Harrison,2,2,1,5,1,1,1,3,4,5,3,12,2,5,1,8
trapdoors,batter,Parker,Summer,1,4,4,9,3,3,2,8,4,6,1,11,4,1,1,6
trapdoors,batter,Caligula,Winters,3,3,3,9,1,5,2,8,3,4,1,8,4,3,2,9
trapdoors,batter,Oliver,Pony,2,4,1,7,1,1,6,8,6,1,5,12,5,5,2,12
trapdoors,batter,Velasquez,Mueller,4,3,3,10,1,4,1,6,6,1,1,8,1,3,3,7
trapdoors,batter,Hendricks,Games,4,4,2,10,1,2,4,7,2,3,3,8,6,4,1,11
trapdoors,batter,Tillman,Septemberish,3,6,5,14,1,2,1,4,1,6,4,11,4,2,4,10
trapdoors,pitcher,Marco,Crankit,5,5,4,14,5,2,4,11,6,4,5,15,6,2,6,14
trapdoors,pitcher,Stevenson,Escobar,3,3,3,9,4,1,4,9,5,1,1,7,5,1,3,9
trapdoors,pitcher,Lang,Patterson,6,1,2,9,5,4,3,12,1,3,6,10,4,2,2,8
trapdoors,pitcher,Thomas,Beyonce,2,1,4,7,6,5,4,15,5,4,5,14,3,2,1,6
trapdoors,pitcher,Logan,Simmons,4,4,3,11,6,3,3,12,1,1,3,5,1,5,5,11
vegans,batter,Rat,Dudley,6,1,2,9,6,1,4,11,2,3,4,9,3,4,3,10
vegans,batter,Juan,King,6,3,3,12,2,2,2,6,2,2,1,5,1,6,5,12
vegans,batter,Wanda,Clembons,2,6,1,9,3,4,3,10,3,3,2,8,3,6,1,10
vegans,batter,Marco,Garbage,1,6,5,12,3,3,4,10,4,1,3,8,5,4,1,10
vegans,batter,Walton,Guerra,3,1,5,9,5,3,5,13,3,6,6,15,5,3,6,14
vegans,batter,Raúl,Turquoise,6,2,3,11,2,3,5,10,2,6,2,10,5,1,5,11
vegans,batter,Yosh,Woodman,1,3,1,5,6,3,4,13,4,1,1,6,4,4,2,10
